GN	logFC	AveExpr	t	P.Value	adj.P.Val	B	Significance
IL1B	3.956	4.673	34.256	3.57E-10	1.53E-06	13.720	Upregulated (FDR < 0.01, log2FC > 0.6)
IFIT3	4.152	4.496	25.330	4.19E-09	4.20E-06	11.670	Upregulated (FDR < 0.01, log2FC > 0.6)
IFIT2	4.078	3.756	24.684	5.17E-09	4.20E-06	11.482	Upregulated (FDR < 0.01, log2FC > 0.6)
GBP3	3.832	4.875	25.878	3.52E-09	4.20E-06	11.825	Upregulated (FDR < 0.01, log2FC > 0.6)
GBP2	3.130	4.875	26.694	2.73E-09	4.20E-06	12.047	Upregulated (FDR < 0.01, log2FC > 0.6)
IFI16	2.841	5.049	24.299	5.88E-09	4.20E-06	11.366	Upregulated (FDR < 0.01, log2FC > 0.6)
MMP9	3.582	4.080	23.644	7.34E-09	4.50E-06	11.164	Upregulated (FDR < 0.01, log2FC > 0.6)
ICAM1	3.654	4.058	20.721	2.14E-08	8.74E-06	10.162	Upregulated (FDR < 0.01, log2FC > 0.6)
MX2	3.352	4.760	19.979	2.87E-08	8.74E-06	9.879	Upregulated (FDR < 0.01, log2FC > 0.6)
EPSTI1	3.191	3.605	19.829	3.06E-08	8.74E-06	9.820	Upregulated (FDR < 0.01, log2FC > 0.6)
MARCKS	3.118	4.211	19.848	3.03E-08	8.74E-06	9.828	Upregulated (FDR < 0.01, log2FC > 0.6)
CMPK2	2.478	3.950	20.187	2.64E-08	8.74E-06	9.960	Upregulated (FDR < 0.01, log2FC > 0.6)
SRC	2.340	5.584	20.438	2.39E-08	8.74E-06	10.056	Upregulated (FDR < 0.01, log2FC > 0.6)
IFIT5	2.330	4.414	20.527	2.31E-08	8.74E-06	10.090	Upregulated (FDR < 0.01, log2FC > 0.6)
ISG15	2.292	5.080	20.239	2.59E-08	8.74E-06	9.980	Upregulated (FDR < 0.01, log2FC > 0.6)
OAS2	2.441	4.761	19.669	3.26E-08	8.75E-06	9.757	Upregulated (FDR < 0.01, log2FC > 0.6)
IFIT1	2.799	4.784	19.065	4.20E-08	1.04E-05	9.512	Upregulated (FDR < 0.01, log2FC > 0.6)
HELZ2	2.378	4.230	18.976	4.36E-08	1.04E-05	9.475	Upregulated (FDR < 0.01, log2FC > 0.6)
CXCL10	2.517	4.737	18.481	5.39E-08	1.22E-05	9.266	Upregulated (FDR < 0.01, log2FC > 0.6)
MX1	4.041	4.393	17.517	8.30E-08	1.78E-05	8.839	Upregulated (FDR < 0.01, log2FC > 0.6)
IFIH1	3.256	4.302	17.309	9.14E-08	1.87E-05	8.744	Upregulated (FDR < 0.01, log2FC > 0.6)
IL1RN	2.054	5.597	17.050	1.03E-07	2.01E-05	8.623	Upregulated (FDR < 0.01, log2FC > 0.6)
TAP1	1.874	4.485	16.496	1.34E-07	2.51E-05	8.357	Upregulated (FDR < 0.01, log2FC > 0.6)
SGTB	1.832	4.603	15.906	1.80E-07	3.22E-05	8.062	Upregulated (FDR < 0.01, log2FC > 0.6)
PDCD4	-2.263	3.929	-15.538	2.17E-07	3.73E-05	7.872	Downregulated (FDR < 0.01, log2FC < -0.6)
NT5C3A	2.092	4.625	14.979	2.91E-07	4.62E-05	7.573	Upregulated (FDR < 0.01, log2FC > 0.6)
STAT2	1.840	4.532	15.009	2.86E-07	4.62E-05	7.590	Upregulated (FDR < 0.01, log2FC > 0.6)
MT2A	4.278	3.955	14.787	3.22E-07	4.75E-05	7.468	Upregulated (FDR < 0.01, log2FC > 0.6)
OAS3	2.503	4.944	14.730	3.32E-07	4.75E-05	7.437	Upregulated (FDR < 0.01, log2FC > 0.6)
DDX60	1.766	4.520	14.857	3.10E-07	4.75E-05	7.507	Upregulated (FDR < 0.01, log2FC > 0.6)
ISG20	2.678	4.188	14.657	3.46E-07	4.79E-05	7.396	Upregulated (FDR < 0.01, log2FC > 0.6)
SOD2	4.458	4.577	14.486	3.80E-07	5.06E-05	7.300	Upregulated (FDR < 0.01, log2FC > 0.6)
CCL5	2.438	4.762	14.439	3.89E-07	5.06E-05	7.273	Upregulated (FDR < 0.01, log2FC > 0.6)
DTX3L	1.771	4.992	14.055	4.82E-07	6.09E-05	7.053	Upregulated (FDR < 0.01, log2FC > 0.6)
SP110	2.247	4.805	13.780	5.64E-07	6.92E-05	6.891	Upregulated (FDR < 0.01, log2FC > 0.6)
PARP14	1.817	4.675	13.625	6.17E-07	7.36E-05	6.797	Upregulated (FDR < 0.01, log2FC > 0.6)
NCF1C	2.400	5.295	13.454	6.82E-07	7.91E-05	6.694	Upregulated (FDR < 0.01, log2FC > 0.6)
AMPD3	1.502	4.714	12.976	9.08E-07	1.03E-04	6.396	Upregulated (FDR < 0.01, log2FC > 0.6)
LACTB	1.506	5.348	12.846	9.83E-07	1.08E-04	6.313	Upregulated (FDR < 0.01, log2FC > 0.6)
NAMPT	1.516	5.362	12.609	1.14E-06	1.19E-04	6.160	Upregulated (FDR < 0.01, log2FC > 0.6)
RET	-1.536	3.376	-12.620	1.13E-06	1.19E-04	6.167	Downregulated (FDR < 0.01, log2FC < -0.6)
SAMD9	1.631	4.832	12.456	1.25E-06	1.22E-04	6.059	Upregulated (FDR < 0.01, log2FC > 0.6)
SH3PXD2B	1.532	4.607	12.471	1.24E-06	1.22E-04	6.069	Upregulated (FDR < 0.01, log2FC > 0.6)
CLEC11A	-2.215	4.093	-12.484	1.23E-06	1.22E-04	6.078	Downregulated (FDR < 0.01, log2FC < -0.6)
RSAD2	3.443	3.620	12.201	1.47E-06	1.37E-04	5.889	Upregulated (FDR < 0.01, log2FC > 0.6)
NADK	2.057	4.363	12.216	1.46E-06	1.37E-04	5.899	Upregulated (FDR < 0.01, log2FC > 0.6)
APOL2	2.775	4.705	12.024	1.65E-06	1.51E-04	5.769	Upregulated (FDR < 0.01, log2FC > 0.6)
